																											
																											
	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Argentina	46.07575693	47.49662476	49.95000462	50.09613983	53.29105201	54.0597337	56.05475585	57.84959364	59.82760767	60.85326268	61.57518172	58.57881925	56.9201771	60.90438474	66.53292339	66.93274	72.81673208	73.76034456	77.67730187	75.52925507	78.69036388	80.56922459	80.85625402	83.04046182	86.64395918	88.94420245	90.4319378
Brazil	140.6112534	143.2075605	144.7295344	148.3862466	156.1720985	161.428861	169.9965907	178.5616723	182.8919048	187.0273507	187.7404141	190.969014	195.9970751	199.193318	210.3258962	215.5599767	223.0971956	235.8459963	249.1276001	241.0801531	266.4962769	270.8173751	282.5076554	294.4879092	304.0232292	298.0257553	289.0811665
Chile	14.01174583	14.32528295	15.49251125	15.87798114	17.07204226	18.34607484	20.32090528	22.75365799	23.56084322	25.03500532	25.17145177	24.70078082	25.57176745	25.84066925	27.51392927	28.3670336	29.52400287	30.62128513	30.33224622	29.53157115	30.8590989	33.61138597	37.20763564	38.69607313	36.10486962	37.31628715	38.47630001
Colombia	24.22460263	24.48871061	25.0480061	26.20194128	27.12627863	27.60077128	28.27405318	27.43344709	28.73013774	25.69260065	25.81611693	25.70956482	25.20618067	25.73576341	26.00121953	27.08594265	28.4682766	28.29170809	29.62011915	30.70621711	31.20587858	31.25461365	31.54811033	33.65727438	34.01116542	35.11225501	32.81719605
Mexico	123.3070285	129.479359	130.6928227	133.0493451	136.0377231	131.6454206	134.5906039	141.5790689	145.4685779	149.6720175	150.34481	154.6848224	155.238426	165.0250412	166.7317849	178.3007798	182.3038098	181.0745963	179.8476581	180.0191691	174.9358665	183.8203007	191.8628351	192.3060413	188.2822104	185.6380125	181.7790865
Venezuela	39.58875808	41.35553493	46.26032489	43.08042666	49.93516727	46.84683009	49.93276721	49.71135631	52.34164095	49.90084305	51.28021958	53.06629514	57.5968415	52.96597487	56.42504182	56.31047981	62.65932066	58.02173067	64.88935732	65.02484143	72.38345981	67.20010512	73.06418251	68.76571751	67.50500123	66.9079313	65.32669875
China	870.421499	847.88306	876.924224	929.110525	973.089672	1044.659468	1073.324076	1071.806192	1078.716758	1100.082654	1133.834597	1180.173996	1259.944317	1440.015641	1641.981708	1816.146224	1986.199324	2148.761439	2216.259891	2366.817154	2614.59497	2804.658516	2911.302959	3005.27643	3052.324845	3079.808711	3122.855458
India	305.6699655	318.4549569	330.0945954	338.0307799	350.9911826	371.1652389	382.5139657	397.6957946	407.2332509	430.7487758	440.9181161	447.2238413	460.5791812	471.6240265	496.7568291	516.1728152	543.2959492	574.0340635	602.2289055	663.2208268	693.2765287	722.6895929	758.4717783	776.0044894	824.7692663	845.2956369	883.8114119
Indonesia	98.67332517	103.5044546	107.8963615	118.5212675	118.6649334	130.8895657	135.649972	140.2281845	137.1450747	143.7234588	155.7946574	159.4647277	165.3211855	165.8309005	176.7491138	179.9172105	184.1749696	183.3075067	186.93139	202.1824673	212.5175254	204.760705	212.4512175	218.0205889	226.095767	211.7206067	217.9912578
Japan	438.5465122	442.9877497	453.3223557	456.2926219	481.1669006	493.7106924	503.9972243	509.3038058	499.8109385	507.7025805	517.8113261	509.486103	508.7374704	504.9141941	521.0142074	519.1308642	518.3126921	513.6428238	494.1634943	471.0464811	498.6190217	461.6124493	451.5133848	454.7045882	441.7359805	433.7802748	437.2559764
Malaysia	21.81114804	26.90172706	29.66129586	32.16035778	32.198547	34.91339858	38.60922587	44.92362059	42.32469198	42.87492134	49.0645995	51.40577379	53.05538176	56.80358074	61.12631235	66.7260679	67.11726282	73.355331	76.64255315	72.7679848	74.28224326	77.10382049	78.57369891	88.46441226	90.23426002	88.66923471	94.27088519
